7zip 25.01-1
aichat 0.30.0-2
alacritty 0.16.1-1
alsa-utils 1.2.15.2-1
arduino-cli 1.4.0-1
ark 25.12.1-1
asciinema 3.1.0-1
asciiquarium 1.1-7
base 3-2
base-devel 1-2
bat 0.26.1-1
benzene 20130630-3
blender 17:5.0.1-3
bluedevil 1:6.5.5-1
blueman 2.4.6-2
bluez-utils 5.85-1
breeze-gtk 6.5.5-1
breeze-plymouth 6.5.5-1
btop 1.4.6-1
calcurse 4.8.2-1
calibre 8.7.0-9
ccache 4.12.2-1
celluloid 0.29-1
chafa 1.18.0-1
chromium 144.0.7559.109-1
clap 1.2.7-1
cmake 4.2.3-1
cpio 2.15-3
dialog 1:1.3_20260107-1
discord 1:0.0.122-1
discover 6.5.5-1
drkonqi 6.5.5-1
duf 0.9.1-1
dunst 1.13.0-1
easyeffects 8.1.1-1
efibootmgr 18-3
element-desktop 1.12.8-1
evince 1:48.1-1
evtest 1.36-1
eza 0.23.4-1
fastfetch 2.58.0-1
fd 10.3.0-1
feh 3.11.2-2
figlet 2.2.5-6
flatpak 1:1.16.3-1
flatpak-kcm 6.5.5-1
foot 1.25.0-1
foot-terminfo 1.25.0-1
fprintd 1.94.5-1
fzf 0.67.0-2
gamescope 3.16.19-3
gammastep 2.0.11-2
geoclue 2.8.0-1
gimp 3.0.8-2
git 2.52.0-2
git-delta 0.18.2-6
github-cli 2.86.0-1
gnome-boxes 49.1-1
gnome-characters 49.1-1
gnome-control-center 49.4-1
gnome-disk-utility 46.1-2
gnome-shell 1:49.3-1
gnome-terminal 3.58.1-1
gnome-themes-extra 1:3.28-1
go 2:1.25.6-1
graphviz 14.1.1-2
gst-plugin-pipewire 1:1.4.10-1
htop 3.4.1-1
hyprpolkitagent 0.1.3-4
hyprshot 1.3.0-4
imagemagick 7.1.2.13-1
impala 0.7.2-1
imv 5.0.1-1
intel-compute-runtime 26.01.36711.4-1
intel-media-driver 25.3.4-1
intel-media-sdk 23.2.2-5
intel-ucode 20251111-1
iwd 3.10-1
jdk-openjdk 25.0.2.u10-1
jless 0.9.0-2
kde-gtk-config 6.5.5-1
kdeconnect 25.12.1-1
kdenlive 25.12.1-1
kdeplasma-addons 6.5.5-1
kgamma 6.5.5-1
kinfocenter 6.5.5-1
kitty 0.45.0-4
kmenuedit 6.5.5-1
konsole 25.12.1-1
krdp 6.5.5-1
kscreen 6.5.5-1
ksshaskpass 6.5.5-1
kvantum 1.1.5-1
kwallet-pam 6.5.5-1
kwalletmanager 25.12.1-1
kwin-x11 6.5.5-2
kwrited 6.5.5-1
lazygit 0.58.1-1
less 1:691-1
lib32-mesa 1:25.3.4-1
lib32-vulkan-icd-loader 1.4.335.0-1
lib32-vulkan-intel 1:25.3.4-1
libfprint 1.94.9-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 25.8.4-3
libva-intel-driver 2.4.1-5
linux 6.18.7.arch1-1
linux-firmware 20260110-1
linux-headers 6.18.7.arch1-1
lolcat 100.0.1-5
loupe 49.2-1
lutris 0.5.19-8
mako 1.10.0-1
man-db 2.13.1-1
meson 1.10.1-1
mpv 1:0.41.0-2
mutter 49.3-1
nano 8.7-1
nautilus 49.3-1
ncdu 2.9.2-1
neovim 0.11.6-1
network-manager-applet 1.36.0-1
networkmanager-openvpn 1.12.5-1
newsboat 2.42-1
niri 25.11-1
nodejs 25.4.0-1
noto-fonts 1:2026.02.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.02.01-1
npm 11.8.0-1
nwg-dock-hyprland 0.4.8-4
nwg-look 1.0.6-1
obs-studio 32.0.4-1
